old_section,source_lines,target_document,target_heading,normative_owner,migration_status,disposition
"Dokumentkopf und Präambel","1-9","docs/documentation-governance.md","Documentation Governance","documentation-governance","mapped","Kontext im unveränderten Snapshot erhalten; Governance ist heutige Eigentümerquelle."
"1. Zweck dieses Dokuments","10-30","docs/documentation-governance.md","Documentation Governance","documentation-governance","mapped","In Governance und Index normalisiert."
"2. Verbindlicher Scope","31-73","docs/product/scope-and-success.md","Scope und Erfolg","product-scope-and-success","mapped","Übernommen und entdupliziert."
"3. Leitende Architekturentscheidungen","74-98","docs/architecture/overview.md","Systemüberblick","architecture-code-boundaries","mapped","Erklärende Zusammenfassung; normative Details verlinkt."
"4. Systemarchitektur und Datenfluss","99-294","docs/architecture/code-boundaries.md","Code- und Paketgrenzen","architecture-code-boundaries","mapped","Paketkanten und Core-Reinheit normativ übernommen; Datenfluss verlinkt."
"5. Battle-Engine-Vertrag","295-411","docs/contracts/engine-capabilities.md","Engine-Capability-Vertrag","contract-engine-capabilities","mapped","Oracle-, Surrogat-, Capability- und Fallback-Regeln übernommen."
"6. Memory- und Datenarchitektur","412-508","docs/contracts/belief-open-world.md","Belief- und Open-World-Vertrag","contract-belief-open-world","mapped","Set-Hypothesen, OTHER-Komponente und Memory-Grenzen übernommen."
"7. Search-Vertrag","509-590","docs/contracts/search-v0.md","Search-v0: Information-Set DUCT","contract-search-v0","mapped","Algorithmusregeln übernommen; Betriebsmodi an Determinismusvertrag delegiert."
"8. Policy-/Value-Modelle und Compute","591-639","docs/training/pipeline-and-selection.md","Training und Kandidatenauswahl","training-pipeline-and-selection","mapped","Modellrollen und Auswahlregeln übernommen."
"9. Datenquellen und Leakage-Vertrag","640-704","docs/data/data-and-licensing.md","Datenquellen, Lizenzen und Artefakte","data-sources-and-licensing","mapped","Quellen- und Lizenzregeln übernommen; Splits verlinkt."
"10. Team-Building-Vertrag","705-733","docs/teams/team-contract.md","Teamvertrag","team-contract","mapped","Offline- und Sealing-Regeln übernommen."
"11. Evaluationsartefakte und Reihenfolge","734-783","docs/evaluation/pool-separation.md","Trennung der Evaluationspools","evaluation-pool-separation","mapped","Vier Poolrollen und Öffnungsreihenfolge übernommen."
"12. Primäres M5-Strength-Protokoll","784-857","docs/evaluation/m5-strength-qualification.md","M5 Strength Qualification","evaluation-m5-strength-qualification","mapped","Estimand-Gate, Zählregeln und Guardrails übernommen."
"13. Forschungsmetriken","858-917","docs/evaluation/metrics.md","Forschungs- und Betriebsmetriken","evaluation-metrics","mapped","Belief-, Decision-, Engine- und Protocol-Metriken übernommen."
"14. Public-Ladder- und Human-Validierung","918-953","docs/evaluation/m6-human-validation.md","M6 Human- und Ladder-Validierung","evaluation-m6-human-validation","mapped","Externe Validierung und Plattformabhängigkeit übernommen."
"15. Release-, Ruleset- und Claim-Vertrag","954-984","docs/contracts/provenance.md","Provenance-, Snapshot- und Claim-Vertrag","contract-provenance","mapped","Lokale und öffentliche Provenance sowie Claim-Lebenszyklus übernommen."
"16. Dependency-Matrix","985-1049","docs/architecture/dependency-matrix.md","Dependencies und Installationsprofile","architecture-dependency-matrix","mapped","Installationsprofile und Lockstep-Versionierung übernommen."
"17. Lizenz- und Artefaktmatrix","1050-1071","docs/data/data-and-licensing.md","Datenquellen, Lizenzen und Artefakte","data-sources-and-licensing","mapped","Lizenzklassen und Repository-Ausschlüsse übernommen."
"18. Transfer-Audit des alten VGC-Projekts","1072-1120","docs/transfer-audit/README.md","Transfer-Audit historischer Bot-Komponenten","transfer-audit","mapped","Nur formatneutrale Kandidaten; VGC-Entscheidungskern ausgeschlossen."
"19. GitHub-Vertrag","1121-1313","docs/project/github-ci-security.md","GitHub, CI und Security","project-github-ci-security","mapped","Workflow, pr-gate, Security, Tags und Break-Glass übernommen."
"20. Roadmap","1314-1464","docs/roadmap/milestones.md","Projektroadmap und Meilensteine","roadmap-milestones","mapped","Reihenfolge und Gates als Verweise auf normative Quellen übernommen."
"21. Quellenbasis","1465-1486","docs/research/sources.md","Quellenbasis","research-sources","mapped","Als nichtoperative Evidenz übernommen."
"22. Freeze-Kriterien","1487-1502","docs/documentation-governance.md","Documentation Governance","documentation-governance","mapped","Änderungskontrolle und neue Designrevision in Governance normalisiert."
